REF_DATE,GEO,unemployment_rate
2020-07,Alberta,0.6
2020-07,Alberta,13.1
2020-07,Alberta,13.1
2020-07,Alberta,0.5
2020-07,Alberta,0.5
2020-07,Alberta,0.6
2020-07,Alberta,26.1
2020-07,Alberta,26.5
2020-07,Alberta,1.7
2020-07,Alberta,1.7
2020-07,Alberta,2.1
2020-07,Alberta,31.7
2020-07,Alberta,23.2
2020-07,Alberta,10.8
2020-07,Alberta,10.6
2020-07,Alberta,0.4
2020-07,Alberta,0.4
2020-07,Alberta,0.6
2020-07,Alberta,10.3
2020-07,Alberta,10.0
2020-07,Alberta,0.5
2020-07,Alberta,0.5
2020-07,Alberta,0.6
2020-07,Alberta,12.7
2020-07,Alberta,12.6
2020-07,Alberta,1.0
2020-07,Alberta,0.9
2020-07,Alberta,1.3
2020-07,Alberta,14.0
2020-07,Alberta,12.9
2020-07,Alberta,0.6
2020-07,Alberta,0.6
2020-07,Alberta,0.8
2020-07,Alberta,13.4
2020-07,Alberta,13.0
2020-07,Alberta,0.6
2020-07,Alberta,0.6
2020-07,Alberta,0.8
2020-07,Alberta,25.9
2020-07,Alberta,24.7
2020-07,Alberta,2.4
2020-07,Alberta,2.4
2020-07,Alberta,3.0
2020-07,Alberta,31.9
2020-07,Alberta,20.4
2020-07,Alberta,12.3
2020-07,Alberta,11.0
2020-07,Alberta,0.6
2020-07,Alberta,0.6
2020-07,Alberta,0.7
2020-07,Alberta,12.0
2020-07,Alberta,10.4
2020-07,Alberta,0.7
2020-07,Alberta,0.7
2020-07,Alberta,0.9
2020-07,Alberta,13.1
2020-07,Alberta,12.8
2020-07,Alberta,1.3
2020-07,Alberta,1.2
2020-07,Alberta,1.7
2020-07,Alberta,11.5
2020-07,Alberta,13.1
2020-07,Alberta,0.6
2020-07,Alberta,0.7
2020-07,Alberta,0.8
2020-07,Alberta,12.7
2020-07,Alberta,13.2
2020-07,Alberta,0.6
2020-07,Alberta,0.7
2020-07,Alberta,0.8
2020-07,Alberta,26.4
2020-07,Alberta,28.4
2020-07,Alberta,2.3
2020-07,Alberta,2.6
2020-07,Alberta,2.8
2020-07,Alberta,31.5
2020-07,Alberta,26.4
2020-07,Alberta,9.0
2020-07,Alberta,10.1
2020-07,Alberta,0.6
2020-07,Alberta,0.6
2020-07,Alberta,0.8
2020-07,Alberta,8.2
2020-07,Alberta,9.5
2020-07,Alberta,0.7
2020-07,Alberta,0.7
2020-07,Alberta,0.9
2020-07,Alberta,12.3
2020-07,Alberta,12.3
2020-07,Alberta,1.3
2020-07,Alberta,1.3
2020-07,Alberta,1.7
2020-08,Alberta,12.5
2020-08,Alberta,12.9
2020-08,Alberta,0.4
2020-08,Alberta,0.5
2020-08,Alberta,0.6
2020-08,Alberta,12.7
2020-08,Alberta,13.1
2020-08,Alberta,0.5
2020-08,Alberta,0.5
2020-08,Alberta,0.6
2020-08,Alberta,27.2
2020-08,Alberta,27.3
2020-08,Alberta,1.7
2020-08,Alberta,1.7
2020-08,Alberta,2.1
